year,player_name,sg_total,sg_off_the_tee,sg_approach,sg_around_green,sg_putting,driving_distance,driving_accuracy,greens_in_regulation,scoring_average,money_earned,final_season_rank,sg_tee_to_green
2016,Aaron Baddeley,0.257,-0.366,-0.362,0.402,0.586,291.7,55.42,63.11,70.888,1644915.0,69.0,-0.32599999999999996
2016,Abraham Ancer,-0.727,-0.024,-0.34,0.057,-0.421,276.4,65.42,61.81,72.137,162811.0,,-0.30700000000000005
2016,Adam Hadwin,0.519,0.223,-0.055,-0.081,0.53,290.1,63.62,66.07,70.719,1067809.0,85.0,0.08700000000000001
2016,Adam Scott,1.894,0.522,1.491,0.049,-0.168,304.6,55.55,70.76,69.47,6473090.0,4.0,2.062
2016,Alex Cejka,0.642,-0.292,0.626,0.297,0.01,281.5,65.89,67.99,70.675,1566308.0,83.0,0.631
2016,Alex Prugh,,,,,,,,,,135437.0,,
2016,Andres Gonzales,-0.462,-0.222,-0.112,-0.135,0.007,294.7,54.55,66.17,71.681,579667.0,,-0.46900000000000003
2016,Andres Romero,,,,,,,,,,195262.0,,
2016,Andrew Landry,-0.04,0.594,-0.892,-0.396,0.654,294.7,65.55,64.63,71.143,373980.0,,-0.6940000000000001
2016,Andrew Loupe,-0.115,-0.005,-0.281,-0.172,0.28,309.3,45.56,63.41,71.423,1075276.0,113.0,-0.458
2016,Anirban Lahiri,0.068,0.025,0.143,-0.08,-0.02,291.7,56.31,62.88,71.139,835171.0,119.0,0.08799999999999998
2016,Arjun Atwal,,,,,,,,,,28598.0,,
2016,Ben Crane,0.202,-0.063,0.101,0.173,0.23,280.3,63.18,63.6,70.908,607892.0,117.0,0.211
2016,Ben Curtis,,,,,,,,,,12691.0,,
2016,Ben Martin,0.023,0.079,0.081,-0.277,0.14,288.8,62.14,66.73,71.282,1205730.0,70.0,-0.11700000000000002
2016,Bernhard Langer,,,,,,,,,,89000.0,,
2016,Bill Haas,0.519,0.068,0.272,0.353,-0.174,289.6,62.34,67.14,70.444,2390199.0,46.0,0.6930000000000001
2016,Billy Horschel,0.829,0.201,0.422,-0.102,0.112,293.0,60.71,67.7,70.548,1744571.0,50.0,0.521
2016,Billy Hurley III,0.348,-0.206,0.226,-0.104,0.433,277.7,65.36,62.71,70.846,1770400.0,55.0,-0.08399999999999998
2016,Billy Mayfair,,,,,,,,,,39720.0,,
2016,Blayne Barber,0.099,0.018,0.127,-0.056,0.01,289.6,62.37,66.74,71.032,768585.0,101.0,0.089
2016,Bo Van Pelt,,,,,,,,,,15392.0,,
2016,Boo Weekley,0.082,0.571,-0.09,-0.174,-0.225,291.5,66.98,67.87,71.0,991660.0,114.0,0.307
2016,Branden Grace,0.855,0.326,0.603,0.032,-0.105,295.6,55.14,66.76,70.204,2878868.0,41.0,0.9610000000000001
2016,Brandt Snedeker,0.968,-0.059,0.164,0.32,0.395,292.6,58.69,65.67,70.203,3960142.0,15.0,0.42500000000000004
2016,Brendan Steele,0.255,0.331,0.238,-0.188,-0.287,302.2,60.29,68.72,70.855,1589266.0,63.0,0.38099999999999995
2016,Brendon Todd,-1.593,-1.043,-1.424,0.412,0.462,280.1,58.02,54.23,72.728,75772.0,,-2.0549999999999997
2016,Brendon de Jonge,-0.332,-0.229,-0.195,-0.063,0.156,287.5,59.19,65.64,71.603,415583.0,,-0.48700000000000004
2016,Brett Stegmaier,0.048,0.128,0.133,-0.152,-0.061,295.3,60.93,66.8,70.995,1086714.0,108.0,0.10900000000000001
2016,Brian Davis,,,,,,,,,,27880.0,,
2016,Brian Gay,,,,,,,,,,280619.0,,
2016,Brian Harman,0.169,0.27,-0.611,0.12,0.465,289.7,63.41,64.85,70.996,1299801.0,53.0,-0.22099999999999997
2016,Brian Stuard,-0.093,-0.1,-0.11,0.14,-0.022,277.7,71.07,63.3,71.242,1666014.0,60.0,-0.07
2016,Brice Garnett,,,,,,,,,,446565.0,,
2016,Bronson Burgoon,-0.2,0.069,0.145,-0.398,0.002,293.1,57.3,66.24,71.132,557020.0,131.0,-0.18400000000000002
